stringId_A	stringId_B	preferredName_A	preferredName_B	ncbiTaxonId	score	nscore	fscore	pscore	ascore	escore	dscore	tscore
9606.ENSP00000013807	9606.ENSP00000265433	ERCC1	NBN	9606	0.7	0.0	0.0	0.0	0.0	0.0	0.4	0.522
9606.ENSP00000013807	9606.ENSP00000347232	ERCC1	BLM	9606	0.701	0.0	0.0	0.0	0.0	0.0	0.4	0.522
9606.ENSP00000013807	9606.ENSP00000494957	ERCC1	UBE2T	9606	0.702	0.0	0.0	0.0	0.0	0.0	0.5	0.43
9606.ENSP00000013807	9606.ENSP00000229769	ERCC1	FANCE	9606	0.71	0.0	0.0	0.0	0.0	0.0	0.5	0.445
9606.ENSP00000013807	9606.ENSP00000351697	ERCC1	REV3L	9606	0.712	0.0	0.0	0.0	0.0	0.11	0.0	0.689
9606.ENSP00000013807	9606.ENSP00000498215	ERCC1	FANCB	9606	0.715	0.0	0.0	0.0	0.0	0.0	0.5	0.454
9606.ENSP00000013807	9606.ENSP00000259008	ERCC1	BRIP1	9606	0.716	0.0	0.0	0.0	0.049	0.0	0.4	0.542
9606.ENSP00000013807	9606.ENSP00000250416	ERCC1	PARP2	9606	0.721	0.0	0.0	0.0	0.0	0.0	0.5	0.465
9606.ENSP00000013807	9606.ENSP00000382628	ERCC1	RBBP8	9606	0.722	0.0	0.0	0.0	0.0	0.0	0.4	0.556
9606.ENSP00000013807	9606.ENSP00000426191	ERCC1	RAD17	9606	0.731	0.0	0.0	0.0	0.093	0.0	0.4	0.547
9606.ENSP00000013807	9606.ENSP00000260810	ERCC1	TOPBP1	9606	0.737	0.0	0.0	0.0	0.0	0.3	0.4	0.425
9606.ENSP00000013807	9606.ENSP00000343741	ERCC1	ATR	9606	0.739	0.0	0.0	0.0	0.0	0.088	0.4	0.561
9606.ENSP00000013807	9606.ENSP00000372023	ERCC1	CHEK2	9606	0.739	0.0	0.0	0.0	0.049	0.065	0.0	0.73
9606.ENSP00000013807	9606.ENSP00000351185	ERCC1	DNA2	9606	0.752	0.0	0.0	0.0	0.0	0.0	0.4	0.604
9606.ENSP00000013807	9606.ENSP00000325863	ERCC1	MRE11	9606	0.752	0.0	0.0	0.0	0.0	0.069	0.4	0.592
9606.ENSP00000013807	9606.ENSP00000261584	ERCC1	PALB2	9606	0.757	0.0	0.0	0.0	0.0	0.0	0.54	0.494
9606.ENSP00000013807	9606.ENSP00000216714	ERCC1	APEX1	9606	0.774	0.0	0.0	0.0	0.099	0.189	0.0	0.715
9606.ENSP00000013807	9606.ENSP00000306561	ERCC1	OGG1	9606	0.781	0.0	0.0	0.0	0.067	0.0	0.0	0.775
9606.ENSP00000013807	9606.ENSP00000223129	ERCC1	RPA3	9606	0.783	0.0	0.0	0.0	0.047	0.322	0.5	0.409
9606.ENSP00000013807	9606.ENSP00000330875	ERCC1	FANCF	9606	0.803	0.0	0.0	0.0	0.049	0.0	0.5	0.62
9606.ENSP00000013807	9606.ENSP00000363017	ERCC1	RPA2	9606	0.817	0.0	0.0	0.0	0.081	0.322	0.5	0.483
9606.ENSP00000013807	9606.ENSP00000466121	ERCC1	FAAP24	9606	0.826	0.0	0.0	0.0	0.049	0.0	0.5	0.664
9606.ENSP00000013807	9606.ENSP00000371475	ERCC1	TP53BP1	9606	0.835	0.0	0.0	0.0	0.042	0.33	0.36	0.647
9606.ENSP00000013807	9606.ENSP00000373952	ERCC1	FANCA	9606	0.842	0.0	0.0	0.0	0.068	0.0	0.5	0.689
9606.ENSP00000013807	9606.ENSP00000355506	ERCC1	EXO1	9606	0.848	0.0	0.0	0.0	0.086	0.138	0.4	0.717
9606.ENSP00000013807	9606.ENSP00000298139	ERCC1	WRN	9606	0.855	0.0	0.0	0.0	0.0	0.0	0.4	0.768
9606.ENSP00000013807	9606.ENSP00000385021	ERCC1	FANCL	9606	0.858	0.0	0.0	0.0	0.0	0.0	0.5	0.729
9606.ENSP00000013807	9606.ENSP00000451974	ERCC1	XRCC3	9606	0.86	0.0	0.0	0.0	0.0	0.0	0.0	0.86
9606.ENSP00000013807	9606.ENSP00000367910	ERCC1	FANCG	9606	0.866	0.0	0.0	0.0	0.049	0.292	0.5	0.649
9606.ENSP00000013807	9606.ENSP00000355759	ERCC1	PARP1	9606	0.869	0.0	0.0	0.0	0.049	0.0	0.5	0.746
9606.ENSP00000013807	9606.ENSP00000369497	ERCC1	BRCA2	9606	0.877	0.0	0.0	0.0	0.0	0.0	0.54	0.743
9606.ENSP00000013807	9606.ENSP00000289081	ERCC1	FANCC	9606	0.886	0.0	0.0	0.0	0.0	0.0	0.5	0.782
9606.ENSP00000013807	9606.ENSP00000263274	ERCC1	LIG1	9606	0.891	0.0	0.0	0.0	0.057	0.0	0.0	0.889
9606.ENSP00000013807	9606.ENSP00000254719	ERCC1	RPA1	9606	0.898	0.0	0.0	0.0	0.092	0.362	0.5	0.69
9606.ENSP00000013807	9606.ENSP00000382218	ERCC1	ZSWIM7	9606	0.9	0.0	0.0	0.0	0.042	0.0	0.9	0.0
9606.ENSP00000013807	9606.ENSP00000310008	ERCC1	SWSAP1	9606	0.9	0.0	0.0	0.0	0.049	0.0	0.9	0.0
9606.ENSP00000013807	9606.ENSP00000262241	ERCC1	RCOR1	9606	0.901	0.0	0.0	0.0	0.059	0.0	0.9	0.0
9606.ENSP00000013807	9606.ENSP00000383042	ERCC1	KDM1A	9606	0.907	0.0	0.0	0.0	0.045	0.0	0.9	0.108
9606.ENSP00000013807	9606.ENSP00000310842	ERCC1	FANCI	9606	0.907	0.0	0.0	0.0	0.0	0.0	0.54	0.808
9606.ENSP00000013807	9606.ENSP00000493712	ERCC1	RAD51	9606	0.908	0.0	0.0	0.0	0.0	0.0	0.4	0.853
9606.ENSP00000013807	9606.ENSP00000300145	ERCC1	ATP23	9606	0.912	0.0	0.0	0.0	0.124	0.0	0.9	0.083
9606.ENSP00000013807	9606.ENSP00000360682	ERCC1	PAXX	9606	0.926	0.0	0.0	0.0	0.106	0.0	0.9	0.247
9606.ENSP00000013807	9606.ENSP00000418960	ERCC1	BRCA1	9606	0.93	0.0	0.0	0.0	0.055	0.439	0.54	0.747
9606.ENSP00000013807	9606.ENSP00000376952	ERCC1	EME1	9606	0.931	0.0	0.0	0.0	0.0	0.0	0.5	0.869
9606.ENSP00000013807	9606.ENSP00000267430	ERCC1	FANCM	9606	0.933	0.0	0.0	0.0	0.109	0.569	0.5	0.692
9606.ENSP00000013807	9606.ENSP00000398824	ERCC1	PHF21A	9606	0.938	0.0	0.0	0.0	0.0	0.0	0.9	0.407
9606.ENSP00000013807	9606.ENSP00000367527	ERCC1	DCLRE1C	9606	0.943	0.0	0.0	0.0	0.0	0.0	0.9	0.454
9606.ENSP00000013807	9606.ENSP00000349313	ERCC1	NHEJ1	9606	0.943	0.0	0.0	0.0	0.044	0.0	0.9	0.456
9606.ENSP00000013807	9606.ENSP00000305480	ERCC1	FEN1	9606	0.946	0.0	0.0	0.0	0.055	0.138	0.0	0.939
9606.ENSP00000013807	9606.ENSP00000265081	ERCC1	MSH3	9606	0.95	0.0	0.0	0.0	0.0	0.181	0.72	0.799
9606.ENSP00000013807	9606.ENSP00000287647	ERCC1	FANCD2	9606	0.951	0.0	0.0	0.0	0.0	0.0	0.54	0.899
9606.ENSP00000013807	9606.ENSP00000472445	ERCC1	POLD1	9606	0.953	0.0	0.0	0.0	0.056	0.092	0.9	0.525
9606.ENSP00000013807	9606.ENSP00000313420	ERCC1	PRKDC	9606	0.958	0.0	0.0	0.0	0.049	0.0	0.9	0.594
9606.ENSP00000013807	9606.ENSP00000421491	ERCC1	XRCC4	9606	0.962	0.0	0.0	0.0	0.0	0.0	0.9	0.635
9606.ENSP00000013807	9606.ENSP00000484288	ERCC1	LIG4	9606	0.966	0.0	0.0	0.0	0.0	0.0	0.9	0.679
9606.ENSP00000013807	9606.ENSP00000262887	ERCC1	XRCC1	9606	0.967	0.0	0.0	0.0	0.128	0.0	0.36	0.946
9606.ENSP00000013807	9606.ENSP00000359300	ERCC1	CETN2	9606	0.971	0.0	0.0	0.0	0.067	0.0	0.9	0.721
9606.ENSP00000013807	9606.ENSP00000352257	ERCC1	XRCC6	9606	0.972	0.0	0.0	0.0	0.06	0.088	0.9	0.72
9606.ENSP00000013807	9606.ENSP00000351284	ERCC1	RAD52	9606	0.974	0.0	0.0	0.0	0.0	0.396	0.4	0.935
9606.ENSP00000013807	9606.ENSP00000278616	ERCC1	ATM	9606	0.975	0.0	0.0	0.0	0.0	0.0	0.9	0.769
9606.ENSP00000013807	9606.ENSP00000265038	ERCC1	ERCC8	9606	0.977	0.0	0.0	0.0	0.049	0.0	0.9	0.785
9606.ENSP00000013807	9606.ENSP00000375978	ERCC1	XRCC5	9606	0.982	0.0	0.0	0.0	0.049	0.0	0.9	0.831
9606.ENSP00000013807	9606.ENSP00000285021	ERCC1	XPC	9606	0.994	0.0	0.0	0.0	0.049	0.0	0.9	0.944
